epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,334.724,0.73104,1.35798,1.22715,0.58262,0.25431,0.2501,0.08104,3.0148,2.75067,1.95237,0.00998936,0.00332979,0.00998936,0.00332979,0.00998936,0.00332979,0.00998936,0.00332979
2,642.172,0.43402,0.84293,0.9897,0.4771,0.31895,0.26242,0.09439,2.64165,2.6291,1.98505,0.0195936,0.00653119,0.0195936,0.00653119,0.0195936,0.00653119,0.0195936,0.00653119
3,941.384,0.44799,0.81646,0.97787,0.45324,0.42629,0.37704,0.14079,2.51629,2.25948,1.78704,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059
4,1237.84,0.41725,0.78141,0.96506,0.6296,0.44107,0.46961,0.20075,2.18905,1.79588,1.70761,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1534.1,0.36471,0.71483,0.94184,0.50244,0.3931,0.3199,0.12918,2.55909,2.12693,2.04593,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1830.22,0.33263,0.66583,0.92867,0.72203,0.59741,0.63192,0.32237,1.78036,1.39413,1.31993,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2126.44,0.30899,0.63521,0.9207,0.74263,0.48621,0.55383,0.25778,2.22271,1.58109,1.91593,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2423.15,0.29274,0.60237,0.91505,0.80891,0.41897,0.44258,0.20043,2.93115,2.17514,2.66305,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2719.8,0.27506,0.57655,0.90394,0.86257,0.4431,0.47411,0.23349,2.49161,2.10676,2.31711,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3016.16,0.26576,0.56576,0.90178,0.76959,0.43707,0.44212,0.22631,2.78105,2.32307,2.7407,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3312.39,0.25893,0.54733,0.90068,0.86838,0.43793,0.49272,0.24031,2.62452,1.86655,2.20698,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3608.71,0.25132,0.52685,0.89573,0.86612,0.47371,0.54524,0.28179,2.29521,1.67972,1.93983,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3904.95,0.2455,0.5102,0.89145,0.86441,0.46897,0.50437,0.27521,2.43631,1.96289,2.33316,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4201.18,0.23718,0.49756,0.88825,0.84272,0.46885,0.49509,0.2706,2.65437,1.92092,2.67068,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4499,0.23356,0.49485,0.8881,0.88398,0.4729,0.4895,0.26852,2.97871,2.53013,3.59744,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4796.03,0.2272,0.48424,0.8867,0.83325,0.46034,0.46085,0.24586,2.91361,2.47052,3.43438,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
